matricul	departem	ptvente	sexe	age	sitfamil	anciente	csp	codeqlt	nbimpaye	mtrejet	nbopguic	moycred3	aveparmo	endette	engagemt	engagemc	engagemm	nbcptvue	moysold3	moycredi	agemvt	nbop	mtfactur	engageml	nbvie	mtvie	nbeparmo	mteparmo	nbeparlo	mteparlo	nblivret	mtlivret	nbeparlt	mteparlt	nbeparte	mteparte	nbbon	mtbon	nbpaiecb	nbcb	nbcbptar	avtscpte	aveparfi	sexer	cartevpr	nbjdebit
1142242	31	1	1	49	1	259	2	4	0	0	1	102	293990	0	0	0	0	2	27870	102	15	86	0	0	0	0	3	293990	1	10734	2	283256	0	0	0	0	0	0	38	4	0	631593	300	0	1	7
1250651	31	2	1	51	2	252	1	1	0	0	2	33	502925	0	0	0	0	1	9849	26	15	62	0	0	1	10650	5	502925	2	277133	2	97562	1	128230	0	0	0	0	19	2	0	689770	172361	0	1	0
1642888	75	3	1	39	2	253	3	3	0	-1	0	21	0	0	0	0	0	1	-3535	21	16	36	325480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	9127	0	0	1	73
2246945	31	1	1	38	1	133	1	4	0	0	2	23	1900	4	44499	0	44499	1	-4294	22	15	78	0	0	0	0	2	1900	1	1800	1	100	0	0	0	0	0	0	41	2	0	5616	0	0	1	82
3142241	31	3	1	56	1	243	1	1	0	0	1	41	145180	0	0	0	0	1	6865	41	15	48	0	0	2	207082	5	145180	3	107217	2	37963	0	0	0	0	0	0	8	1	0	364607	212591	0	1	1
3243104	31	1	0	32	3	198	2	3	0	0	1	14	0	0	0	0	0	1	-672	14	16	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5613	0	1	1	42
3244257	31	1	0	49	3	127	1	1	0	0	20	243	674742	4	1800000	0	0	2	36117	242	15	262	0	1800000	3	1876826	5	674742	2	466464	2	97724	1	110554	0	0	0	0	21	1	0	2871625	2155668	1	1	40
3251390	31	2	1	40	2	199	1	1	0	0	1	22	694853	3	38124	0	38124	1	21615	19	15	12	0	0	2	465640	9	694853	2	276106	1	32083	6	386664	0	0	0	0	0	1	0	1590118	843364	0	1	0
3440837	82	1	1	55	1	267	1	2	0	-4	0	16	138	6	92549	5505	87044	2	-4278	16	15	40	444936	0	0	0	1	138	0	0	1	138	0	0	0	0	0	0	28	3	0	20871	20600	0	1	91
3743533	97	2	1	36	2	160	2	1	0	0	0	21	611303	0	0	0	0	1	20939	21	15	43	0	0	0	0	4	611303	2	579603	2	31700	0	0	0	0	0	0	17	2	0	649872	500	0	1	0
5043817	31	2	1	30	1	16	1	3	0	0	2	19	0	0	0	0	0	1	41589	19	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	41943	0	0	1	0
5059337	32	5	1	44	4	10	1	3	0	0	2	0	0	0	0	0	0	1	126641	0	15	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	118323	49488	0	1	0
5075858	31	2	1	40	4	3	1	4	0	0	1	0	0	0	0	0	0	1	477	0	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	750	0	0	1	0
7501958	31	1	1	53	1	20	1	4	0	0	0	0	100	0	0	0	0	1	-621	0	15	4	160500	0	0	0	1	100	0	0	1	100	0	0	0	0	0	0	0	2	0	25309	0	0	1	14
7544157	32	5	1	48	1	7	1	2	0	0	6	86	30836	7	666389	0	666389	1	22728	79	15	56	62464	0	0	0	1	30836	1	30836	0	0	0	0	0	0	0	0	5	2	0	415519	355153	0	1	6
153009	31	1	1	43	2	213	1	2	0	0	1	46	36000	0	0	0	0	1	63895	46	11	37	36894	0	0	0	2	36000	1	6400	1	29600	0	0	0	0	0	0	21	2	0	87160	0	0	1	0
165626	31	1	1	37	2	188	1	1	0	0	4	102	383645	2	476476	0	0	1	54735	102	11	34	125100	476476	0	0	5	383645	2	115625	2	266455	1	1565	0	0	0	0	6	1	0	576535	2163	0	1	0
243191	31	3	0	46	1	248	1	1	0	0	3	133	177130	0	17383	0	0	1	71866	133	11	45	0	17383	1	55055	3	177130	1	101573	2	75557	0	0	0	0	0	0	11	1	0	338550	117925	1	1	0
464953	31	1	1	33	1	111	2	2	0	0	1	15	53482	0	0	0	0	2	677	13	11	38	0	0	0	0	3	53482	2	49993	1	3489	0	0	0	0	0	0	24	1	0	61515	6271	0	1	42
562253	11	1	0	45	1	811	3	1	0	0	1	79	322007	0	0	0	0	1	101762	79	15	32	6788	0	0	0	2	322007	1	318908	1	3099	0	0	0	0	0	0	0	1	0	423753	0	1	1	0
642811	65	1	1	51	1	217	5	2	0	0	0	14	105	13	228511	59572	168939	2	10221	12	11	14	0	0	1	7897	1	105	0	0	1	105	0	0	0	0	0	0	0	1	0	10541	7897	0	1	23
1043797	31	1	1	40	1	165	2	2	0	0	2	45	10297	0	0	0	0	1	4153	45	11	62	69000	0	1	9632	2	10297	1	0	1	10297	0	0	0	0	0	0	17	1	0	25144	9832	0	1	27
1053494	31	1	0	37	1	195	1	4	0	0	2	105	136023	12	986183	12243	44362	1	22584	75	11	81	0	929578	0	0	2	136023	1	11807	1	124216	0	0	0	0	0	0	52	3	0	136023	0	1	1	0
1146476	31	2	1	46	1	230	1	1	0	0	2	21	56981	0	0	0	0	1	2965	21	11	34	150600	0	0	0	3	56981	2	56881	1	100	0	0	0	0	0	0	16	3	0	66742	8500	0	1	4
1261126	97	3	1	28	2	35	1	2	0	0	0	16	61803	0	0	0	0	1	5758	16	11	60	0	0	0	0	2	61803	1	52803	1	9000	0	0	0	0	0	0	40	2	0	65637	0	0	1	0
1341588	31	3	1	55	1	263	1	1	0	0	1	51	380	1	18688	18688	0	1	16960	51	11	61	160372	0	0	0	3	380	1	0	2	380	0	0	0	0	0	0	19	2	0	880	500	0	1	14
1451601	31	1	0	32	3	148	2	4	0	0	3	14	34189	0	0	0	0	1	18125	7	11	69	0	0	0	0	2	34189	1	34000	1	189	0	0	0	0	0	0	29	2	0	44655	0	1	1	0
1749494	31	2	1	50	1	55	1	2	0	0	5	41	33100	0	0	0	0	1	10768	41	11	40	0	0	0	0	1	33100	0	0	1	33100	0	0	0	0	0	0	17	3	0	41219	0	0	1	4
1954224	31	1	1	53	1	38	1	4	0	0	2	34	38975	2	9587	9587	0	1	27785	34	11	69	0	0	0	0	2	38975	1	9316	1	29659	0	0	0	0	0	0	31	3	0	46627	0	0	1	0
2042793	31	1	1	26	2	93	1	1	0	0	0	16	99895	0	0	0	0	2	20794	16	11	27	0	0	0	0	2	99895	1	98961	1	934	0	0	0	0	0	0	16	2	0	143809	0	0	1	0
2442813	31	1	1	51	1	245	1	4	0	0	3	11	0	96	121507	24404	97103	1	44	11	24	8	36240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	522	0	0	1	35
2463113	31	1	0	33	1	114	2	2	0	0	4	36	1645	23	600733	0	0	2	1704	26	11	82	0	600733	1	7296	4	1645	4	1645	0	0	0	0	0	0	0	0	22	2	0	11325	7296	1	1	38
2845404	31	1	0	44	1	179	1	4	0	0	0	76	0	17	300564	0	0	1	43108	76	11	66	0	300564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	2	0	18176	300	1	1	6
3146126	31	1	1	50	1	46	1	4	0	0	0	0	0	0	203720	203720	0	1	-56957	0	11	3	138000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	85
3241325	31	1	0	39	6	250	1	2	0	0	7	46	9931	21	336246	11204	69636	1	4856	46	11	81	0	255406	0	0	4	9931	2	9417	2	514	0	0	0	0	0	0	23	2	0	19643	9712	1	1	18
3344670	31	1	0	44	2	183	1	1	0	0	3	40	586394	0	198	198	0	1	11034	22	11	43	84000	0	4	195155	4	586394	1	254477	2	33809	1	298108	0	0	0	0	7	2	0	964227	377833	1	1	0
3460377	82	3	1	64	1	153	1	1	0	0	1	66	340730	19	267188	0	267188	1	12360	56	11	56	0	0	1	41961	4	340730	2	220570	2	120160	0	0	0	0	0	0	8	2	0	396964	41961	0	1	6
3842217	31	3	1	31	4	127	2	1	0	0	1	21	312787	40	441632	0	0	1	1970	21	11	40	0	441632	0	0	3	312787	2	306787	1	6000	0	0	0	0	0	0	8	2	0	324409	11482	0	1	55
5006322	31	3	1	40	3	31	1	4	0	0	1	21	7175	10	112027	13399	98628	1	-10664	21	11	38	0	0	0	0	2	7175	1	7050	1	125	0	0	0	0	0	0	5	2	0	7175	0	0	1	92
5022365	31	1	1	27	1	25	1	3	0	0	4	44	0	2	9734	9734	0	1	21962	44	11	87	23941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	0	0	0	0	1	4
5078472	31	2	1	38	1	3	1	5	0	0	0	18	9300	0	0	0	0	1	6699	18	11	24	56500	0	0	0	1	9300	0	0	1	9300	0	0	0	0	0	0	9	3	0	17452	0	0	1	0
5082917	31	1	1	37	1	1	1	5	0	0	2	20	47250	0	0	0	0	1	1023	3	17	10	108500	0	0	0	1	47250	0	0	1	47250	0	0	0	0	0	0	0	1	0	58747	0	0	1	5
7573846	31	1	1	43	2	26	1	4	0	0	0	0	7756	0	140220	140220	0	1	-70050	0	11	3	12000	0	0	0	3	7756	1	7371	2	385	0	0	0	0	0	0	0	1	0	7756	0	0	1	8
149265	31	1	1	39	1	310	1	2	0	0	1	100	21737	2	50522	0	31300	1	20055	100	14	51	141894	19222	0	0	2	21737	2	21737	0	0	0	0	0	0	0	0	32	3	0	100441	0	0	1	8
149961	81	1	1	43	1	231	2	4	0	0	2	26	0	13	226858	45871	180987	3	-2454	26	14	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	1	0	17637	0	0	1	92
252446	32	3	1	31	2	118	1	4	0	0	1	45	128502	0	0	0	0	1	55529	42	14	85	139731	0	0	0	3	128502	1	42000	2	86502	0	0	0	0	0	0	65	2	0	147815	0	0	1	0
554051	65	1	1	37	2	137	1	2	0	0	6	212	0	12	1982579	1361	391697	4	22732	213	14	128	357655	1589521	0	0	1	0	0	0	1	0	0	0	0	0	0	0	41	3	0	63689	0	0	1	24
831509	31	1	1	59	1	848	1	1	0	0	1	354	718094	0	0	0	0	2	105683	193	14	35	203980	0	5	661991	3	718094	1	207693	2	510401	0	0	0	0	0	0	6	2	0	1879699	1140072	0	1	1
1044514	31	3	0	57	1	133	1	2	0	0	3	10	10734	0	0	0	0	1	4844	10	15	23	0	0	0	0	1	10734	0	0	1	10734	0	0	0	0	0	0	10	2	0	18167	0	1	1	0
2550389	31	1	1	61	1	206	1	1	0	0	1	51	407819	0	0	0	0	1	7757	38	14	92	104436	0	1	29604	2	407819	1	169819	1	238000	0	0	0	0	0	0	36	1	0	442398	29604	0	1	0
2644899	31	1	1	46	1	126	1	2	0	0	1	16	82834	0	746	746	0	1	6850	16	14	16	113494	0	0	0	2	82834	0	0	2	82834	0	0	0	0	0	0	0	2	1	82834	0	0	1	0
3146165	75	2	0	29	1	204	2	1	0	0	1	22	236693	0	0	0	0	1	4295	22	14	31	0	0	1	37415	3	236693	2	236505	1	188	0	0	0	0	0	0	13	1	0	284236	46085	1	1	0
3241063	31	1	1	48	1	264	1	1	0	0	2	117	130589	5	126835	0	126835	2	15027	117	14	47	278400	0	1	81863	2	130589	2	130589	0	0	0	0	0	0	0	0	21	3	0	337797	82363	0	1	57
3346721	54	3	1	43	3	133	1	4	0	0	1	27	100000	0	0	0	0	1	17216	27	15	18	0	0	0	0	1	100000	0	0	1	100000	0	0	0	0	0	0	0	1	0	274277	0	0	1	0
5002214	31	6	1	28	2	33	2	3	0	0	4	53	29917	13	97162	0	97162	2	15723	53	15	51	0	0	0	0	2	29917	2	29917	0	0	0	0	0	0	0	0	20	2	0	40054	0	0	1	4
5032531	82	3	1	28	1	22	2	3	0	0	1	7	411	0	4269	4269	0	1	5134	7	14	21	0	0	0	0	1	411	0	0	1	411	0	0	0	0	0	0	11	2	0	411	0	0	1	1
5079351	65	1	1	44	1	4	1	5	0	0	0	10	0	0	0	0	0	1	10709	10	18	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	29227	0	0	1	12
5084793	65	1	1	34	2	2	1	5	0	0	1	1	200	0	0	0	0	1	1278	1	29	4	0	0	0	0	2	200	0	0	2	200	0	0	0	0	0	0	0	1	0	2755	0	0	1	0
5085206	82	5	1	43	2	1	1	5	0	0	3	5	0	0	0	0	0	1	2649	5	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	6047	0	0	1	0
154396	31	2	1	35	1	196	1	1	0	0	4	214	224826	13	1772689	0	201041	3	34221	213	13	119	0	1571648	0	0	4	224826	2	107510	2	117316	0	0	0	0	0	0	43	4	0	271359	200	0	1	0
156485	31	1	1	40	1	309	1	1	0	0	4	156	724959	14	1681684	63442	1618242	2	38831	157	13	58	0	0	0	0	2	724959	1	404448	1	320511	0	0	0	0	0	0	17	2	0	751664	16110	0	1	7
158823	9	1	1	47	3	156	3	2	0	0	2	11	34696	0	0	0	0	1	3703	8	14	24	0	0	1	94518	4	34696	1	2294	3	32402	0	0	0	0	0	0	15	1	0	139033	94518	0	1	34
162381	75	1	1	56	2	131	1	2	0	0	1	31	29618	8	206323	0	75670	1	65548	31	13	63	0	130653	0	0	1	29618	0	0	1	29618	0	0	0	0	0	0	31	2	0	69425	0	0	1	0
163091	31	1	1	54	1	124	1	2	0	0	3	821	0	0	0	0	0	1	76492	35	13	90	0	0	1	5130212	0	0	0	0	0	0	0	0	0	0	0	0	51	1	0	9299466	7066619	0	1	34
256787	32	1	1	38	1	69	1	4	0	0	0	0	0	0	0	0	0	1	0	0	13	0	96000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	107750	0	0	1	0
455868	13	1	1	28	2	143	2	1	0	0	1	37	56153	5	10694	0	10694	2	12383	37	13	41	167866	0	0	0	2	56153	1	28639	1	27514	0	0	0	0	0	0	17	4	0	83142	0	0	1	0
505668	65	1	1	53	1	842	1	3	0	0	0	59	8302	12	194231	31503	162728	2	2420	60	13	97	1331530	0	0	0	1	8302	1	8302	0	0	0	0	0	0	0	0	33	3	1	12896	0	0	1	85
555090	65	1	1	60	1	121	1	2	0	0	0	20	108930	0	0	0	0	1	3048	0	23	1	0	0	1	695634	3	108930	1	67966	2	40964	0	0	0	0	0	0	0	1	0	946222	834743	0	1	0
585843	65	1	1	36	2	90	2	1	0	0	2	41	104075	4	35070	1091	33979	2	6647	41	13	99	0	0	1	6309	2	104075	2	104075	0	0	0	0	0	0	0	0	63	2	0	127768	15523	0	1	33
648247	65	1	0	36	1	55	3	2	0	0	3	10	17660	0	0	0	0	1	6277	10	13	14	24500	0	0	0	4	17660	2	2201	2	15459	0	0	0	0	0	0	0	1	0	25317	0	1	1	0
741266	31	1	1	52	1	277	1	1	0	0	3	39	721486	43	276238	0	0	1	5150	21	13	45	0	276238	0	0	4	721486	2	314252	1	90553	1	316681	0	0	0	0	3	2	0	1222651	493616	0	1	0
744200	31	1	1	49	1	210	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
856548	31	1	1	42	1	92	1	2	0	0	1	10	332105	0	0	0	0	1	8232	10	13	7	0	0	0	0	2	332105	1	312478	1	19627	0	0	0	0	0	0	0	1	0	342452	0	0	1	0
942252	31	1	1	56	1	234	1	1	0	0	2	31	70052	22	102290	0	102290	2	26196	31	13	57	0	0	1	44439	2	70052	0	0	2	70052	0	0	0	0	0	0	10	3	0	141643	44439	0	1	0
1160038	31	1	1	56	1	213	1	2	0	0	1	22	17646	0	0	0	0	1	5823	22	13	50	124930	0	0	0	1	17646	0	0	1	17646	0	0	0	0	0	0	15	2	0	22570	0	0	1	0
1541664	65	1	1	53	1	842	1	2	0	0	9	99	45692	9	327061	0	192856	2	20841	96	13	111	268006	134205	0	0	2	45692	2	45692	0	0	0	0	0	0	0	0	16	3	0	119058	0	0	1	41
1746629	31	3	1	52	5	106	5	3	0	0	5	21	0	10	127730	0	127730	1	-808	21	13	13	158236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4780	0	0	1	46
1963266	92	2	1	29	2	135	1	1	0	0	0	26	305259	13	249652	0	0	1	6863	25	13	30	0	249652	1	32721	4	305259	2	190975	2	114284	0	0	0	0	0	0	6	2	0	386834	73770	0	1	0
2645927	31	1	0	52	1	171	1	1	0	0	2	21	258233	0	0	0	0	1	7029	18	13	34	217600	0	0	0	4	258233	2	245033	2	13200	0	0	0	0	0	0	5	2	0	270244	7624	1	1	0
2647279	31	1	1	25	2	86	3	2	0	0	3	10	41677	0	0	0	0	1	42549	10	13	24	143500	0	0	0	2	41677	1	41318	1	359	0	0	0	0	0	0	14	3	1	87929	4230	0	1	0
3341662	31	1	1	47	1	267	5	3	0	0	11	351	134	3	360884	46024	45899	0	0	0	0	0	0	268961	0	0	1	134	0	0	1	134	0	0	0	0	0	0	0	1	0	71689	500	0	1	0
3345708	31	1	0	65	3	166	3	2	0	0	2	20	0	0	0	0	0	1	9200	20	13	38	92000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	25021	0	1	1	0
4110356	65	1	1	64	1	127	6	1	0	0	5	45	247969	0	0	0	0	1	18634	45	13	61	238743	0	4	375101	4	247969	2	138056	2	109913	0	0	0	0	0	0	14	2	0	944260	671257	0	1	0
5016081	31	1	1	32	2	29	2	1	0	0	5	16	551833	9	147689	0	0	1	11304	16	13	38	0	147689	0	0	4	551833	2	181639	2	370194	0	0	0	0	0	0	0	2	1	562050	0	0	1	0
5017772	31	1	1	36	2	28	1	1	0	0	0	17	209620	0	0	0	0	1	7946	17	23	7	0	0	0	0	3	209620	1	100000	2	109620	0	0	0	0	0	0	0	1	0	214156	0	0	1	0
5021576	31	1	1	60	1	27	1	3	0	0	2	28	30522	0	0	0	0	1	49622	28	14	56	0	0	0	0	1	30522	0	0	1	30522	0	0	0	0	0	0	19	1	0	96681	0	0	1	0
5049589	31	1	0	37	2	16	2	2	0	0	1	12	167002	0	0	0	0	1	10365	12	13	17	44000	0	0	0	1	167002	1	167002	0	0	0	0	0	0	0	0	4	1	0	169438	0	1	1	0
5058983	31	1	0	55	1	13	1	1	0	0	1	54	130041	0	0	0	0	1	37097	54	14	57	0	0	1	105281	2	130041	0	0	2	130041	0	0	0	0	0	0	21	2	0	241939	105281	1	1	0
5075806	31	2	1	36	2	6	1	3	0	0	3	519	500	0	12802	12802	0	1	42263	168	13	67	3394	0	0	0	1	500	0	0	1	500	0	0	0	0	0	0	39	2	0	407687	0	0	1	12
5078110	31	1	1	31	4	5	1	5	0	0	0	0	0	0	60940	1792	59148	1	-24136	0	37	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	65
5082842	31	1	1	41	1	3	1	5	0	0	0	10	0	0	0	0	0	1	10333	10	13	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	41200	0	0	1	0
5084316	31	4	1	41	2	3	1	5	0	0	1	4	0	0	230000	0	0	1	7409	4	19	6	0	230000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13600	0	0	1	0
5087370	66	1	1	37	2	1	3	5	0	0	0	281	70000	0	0	0	0	1	173228	234	13	19	3394	0	0	0	2	70000	0	0	2	70000	0	0	0	0	0	0	7	1	0	1323736	524262	0	1	6
5088208	31	1	1	62	1	1	6	5	0	0	2	9	600	0	0	0	0	1	1980	9	13	10	0	0	0	0	2	600	0	0	2	600	0	0	0	0	0	0	3	1	0	20721	0	0	1	0
5088873	65	1	1	62	1	1	6	5	0	0	4	4	0	0	50000	0	50000	1	1785	4	14	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	39207	0	0	1	4
143397	31	2	1	46	1	864	1	2	0	0	1	8	11266	0	0	0	0	1	7432	4	12	2	200730	0	0	0	2	11266	0	0	2	11266	0	0	0	0	0	0	0	3	0	18928	0	0	1	0
159663	31	1	0	41	2	152	1	1	0	0	1	45	150753	0	0	0	0	2	8489	25	12	27	0	0	0	0	3	150753	1	99831	2	50922	0	0	0	0	0	0	4	2	0	174645	0	1	1	4
458833	82	1	1	53	1	111	1	1	0	0	3	31	176633	0	0	0	0	1	9384	31	12	80	0	0	0	0	3	176633	0	0	3	176633	0	0	0	0	0	0	29	3	0	183551	0	0	1	0
521801	65	1	1	56	3	47	3	4	0	-1	1	4	0	0	0	0	0	2	827	4	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1611	0	0	1	30
547186	31	1	1	36	2	216	1	1	0	0	17	96	19497	6	624519	2810	147412	2	24601	86	12	130	246297	474297	1	39889	4	19497	3	12497	1	7000	0	0	0	0	0	0	11	1	0	121021	59126	0	1	19
555715	65	1	1	27	2	113	2	2	0	0	0	31	9510	6	140924	97742	43182	2	51945	31	15	86	0	0	0	0	2	9510	1	8920	1	590	0	0	0	0	0	0	59	3	0	110773	3211	0	1	8
647443	65	1	1	37	1	70	2	1	0	0	0	4	73018	26	283098	0	0	1	1901	1	33	2	0	283098	0	0	2	73018	2	73018	0	0	0	0	0	0	0	0	0	1	0	75631	2247	0	1	1
1043580	31	4	1	47	1	288	1	2	0	0	5	48	64532	0	15447	15447	0	2	8358	49	12	74	0	0	0	0	1	64532	0	0	1	64532	0	0	0	0	0	0	16	2	0	67149	0	0	1	0
1161004	31	1	1	42	1	203	2	1	0	0	8	40	36461	10	215668	29604	104330	2	926	39	12	112	0	81734	0	0	4	36461	2	36193	2	268	0	0	0	0	0	0	52	4	0	37843	400	0	1	73
1245284	31	1	1	52	1	246	1	2	0	0	4	15	71184	35	463014	0	0	3	3486	15	12	38	0	463014	0	0	3	71184	2	71084	1	100	0	0	0	0	0	0	7	2	0	116463	31066	0	1	0
1254973	31	2	1	47	1	152	1	2	0	0	1	34	73851	56	492189	22642	11365	1	-10962	34	12	56	0	458182	1	29422	3	73851	2	73574	1	277	0	0	0	0	0	0	17	2	0	103273	29422	0	1	83
1257767	31	2	1	26	2	240	3	1	0	0	3	6	176275	0	0	0	0	1	51104	6	12	30	0	0	1	383524	2	176275	1	146392	1	29883	0	0	0	0	0	0	22	1	0	829836	611671	0	1	0
1540931	65	1	1	47	1	286	1	1	0	0	0	61	116617	4	84294	2756	81538	1	21526	54	12	40	0	0	1	207025	2	116617	1	45889	1	70728	0	0	0	0	0	0	8	2	0	427112	310495	0	1	5
1641038	31	3	1	57	1	291	1	1	0	0	1	141	470455	13	127938	0	127938	1	70459	82	15	12	0	0	1	41702	1	470455	0	0	0	0	1	470455	0	0	0	0	0	1	0	588246	42202	0	1	0
1647347	31	3	1	37	1	142	1	2	0	0	10	1721	82745	0	515015	76092	0	1	2959	948	12	56	116970	438923	2	122076	3	82745	1	31895	2	50850	0	0	0	0	0	0	0	1	0	1225600	122781	0	1	52
1962969	31	2	1	49	1	146	1	2	0	0	3	258	11017	0	780	780	0	2	6955	257	12	68	376828	0	0	0	1	11017	1	11017	0	0	0	0	0	0	0	0	41	3	1	626561	0	0	1	49
2247694	31	3	1	49	3	289	1	2	0	0	0	3	0	0	0	0	0	1	9367	3	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	196076	0	0	1	16
2347218	92	1	1	32	2	72	1	1	0	0	2	40	181131	0	0	0	0	1	67785	33	12	58	133100	0	1	23148	3	181131	1	84397	2	96734	0	0	0	0	0	0	32	2	0	248870	23148	0	1	0
2564296	31	1	1	31	2	38	1	3	0	0	2	28	61036	0	0	0	0	1	11325	28	12	34	0	0	0	0	1	61036	1	61036	0	0	0	0	0	0	0	0	22	2	0	75248	0	0	1	0
2648551	97	1	1	41	2	64	2	4	0	0	0	25	0	0	781861	16916	113098	2	8472	25	12	26	0	651847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	23
2840560	31	1	1	53	1	292	1	1	0	0	1	29	187117	13	129062	0	8350	2	60293	30	12	56	0	120712	2	114586	2	187117	1	157194	1	29923	0	0	0	0	0	0	29	2	0	471222	206517	0	1	0
3444169	11	1	1	47	2	137	1	2	0	0	2	22	176	0	97423	47423	50000	1	-35443	22	12	108	564236	0	1	104343	1	176	0	0	1	176	0	0	0	0	0	0	56	2	0	104519	104343	0	1	87
5005557	31	2	1	46	1	34	1	1	0	0	2	52	186878	6	563254	0	0	3	25340	52	12	65	0	563254	0	0	2	186878	2	186878	0	0	0	0	0	0	0	0	23	3	0	211459	0	0	1	0
5014909	31	1	1	44	2	31	1	1	0	0	6	160	341572	19	3472938	0	0	1	53943	85	12	44	115736	3472938	1	1122774	1	341572	0	0	1	341572	0	0	0	0	0	0	10	1	0	1464537	1122774	0	1	0
5032509	31	1	1	31	4	24	1	4	0	0	0	9	0	11	95889	0	95889	2	-511	9	12	31	880660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3244	0	0	1	64
5045122	31	1	1	30	1	19	1	4	0	0	3	34	0	0	0	0	0	1	25738	34	12	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	10276	0	0	1	19
5051051	92	1	1	34	2	17	1	1	0	0	0	25	168960	0	0	0	0	1	32032	25	12	40	0	0	1	49941	3	168960	2	138960	1	30000	0	0	0	0	0	0	13	2	0	248877	49941	0	1	0
5084860	31	1	1	51	2	4	1	1	0	0	2	94	56581	0	0	0	0	1	22750	55	12	15	0	0	0	0	2	56581	1	39999	1	16582	0	0	0	0	0	0	0	1	0	73806	0	0	1	1
5089717	32	3	1	34	1	2	1	5	0	0	2	0	0	0	1173	1173	0	1	456	0	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	1
5091633	31	3	1	38	4	1	1	5	0	0	0	0	0	0	140000	0	140000	1	69750	0	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	139500	0	0	1	0
5092820	81	2	1	30	2	1	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
7505023	65	1	1	47	1	29	5	2	0	0	0	17	377079	0	0	0	0	1	0	0	0	0	0	0	1	635968	1	377079	0	0	1	377079	0	0	0	0	0	0	0	1	0	1013047	635968	0	1	0
7505177	31	1	1	63	6	1	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	84000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
7505572	81	3	1	46	1	165	3	2	0	0	0	53	97764	30	1112089	6148	131713	1	11281	53	12	64	110400	974228	0	0	3	97764	0	0	3	97764	0	0	0	0	0	0	27	2	0	97764	0	0	1	1
7508831	31	1	1	31	1	31	1	1	0	0	2	108	202000	1	95703	0	95703	2	15665	41	12	43	176044	0	0	0	2	202000	1	202000	0	0	1	0	0	0	0	0	16	3	0	213500	0	0	1	0
157788	31	1	1	32	2	167	2	2	0	0	0	13	47710	5	2557	2557	0	2	3704	13	14	28	104000	0	0	0	4	47710	2	11591	2	36119	0	0	0	0	0	0	11	2	0	65855	200	0	1	4
583878	65	1	0	54	1	252	1	1	0	0	3	27	259665	0	0	0	0	1	7576	27	14	58	52200	0	1	28352	4	259665	2	156216	1	26100	1	77349	0	0	0	0	0	2	1	306334	28352	1	1	2
745828	31	1	0	49	3	179	1	2	0	0	2	35	2207	18	629478	0	0	1	16606	35	14	41	161900	629478	0	0	2	2207	2	2207	0	0	0	0	0	0	0	0	16	2	0	12127	4265	1	1	1
